Min seam : 447577.193431
[ 4820.           473.            72.91562215]
[  4.81900000e+03   4.72000000e+02   6.62946805e-01]
[ 4818.           473.           160.31210084]
[ 4817.           474.            70.64625143]
[  4.81600000e+03   4.75000000e+02   4.80792228e+00]
[ 4815.           475.             4.97720436]
[ 4814.          475.          199.3259055]
[ 4813.           474.            72.91025975]
[ 4812.           472.           121.97888178]
[ 4811.           473.            23.12984706]
[ 4810.           474.             7.17407509]
[ 4809.          474.          130.2202834]
[ 4808.           476.           127.13193686]
[ 4807.           478.           156.39225507]
[ 4806.           478.            51.04186708]
[ 4805.           479.            91.56463983]
[ 4804.           479.           123.35465744]
[ 4803.           480.           121.67476468]
[ 4802.           479.            53.78896261]
[ 4801.           477.            89.84848571]
[ 4800.           477.            90.53814797]
[ 4799.           476.             8.71663687]
[ 4798.           476.            52.20441293]
[  4.79700000e+03   4.75000000e+02   9.41553580e-01]
[ 4796.           476.           156.93493538]
[ 4795.          474.          140.3182403]
[ 4794.           474.           165.69009941]
[ 4793.           474.           128.36102555]
[ 4792.           472.            22.82959661]
[ 4791.           471.            83.21947368]
[ 4790.          471.           42.4423574]
[ 4789.          469.           13.0648602]
[ 4788.           467.           115.73409079]
[ 4787.           467.             9.31333629]
[ 4786.           467.            24.00867681]
[ 4785.           468.           109.48068862]
[ 4784.           468.            44.04078348]
[ 4783.           469.           286.50424784]
[ 4782.           470.            30.12971686]
[ 4781.           470.           175.11268336]
[  4.78000000e+03   4.70000000e+02   2.00319610e+00]
[ 4779.           470.            75.62989975]
[ 4778.           468.           174.72152915]
[ 4777.           466.           257.44837034]
[ 4776.           467.           110.89024126]
[ 4775.           467.           136.47858189]
[ 4774.           466.            16.59584465]
[ 4773.           466.            71.61056849]
[ 4772.           467.           140.07945859]
[ 4771.           466.           126.81062684]
[ 4770.           465.            61.74601093]
[ 4769.           464.            59.09533252]
[ 4768.           463.            30.13025551]
[ 4767.           462.            31.34134008]
[ 4766.           463.            78.79030334]
[ 4765.           462.            79.39539362]
[ 4764.           461.             9.70119387]
[ 4763.          461.           14.5098136]
[ 4762.           460.            40.14343676]
[ 4761.           461.            85.44839493]
[ 4760.           461.            18.46839384]
[ 4759.           460.            64.58939192]
[ 4758.           459.           197.31337136]
[ 4757.          458.            8.9984172]
